Section          Name                            Description
libs             libaudit-common                 Dynamic library for security auditing - common files
libs             libaudit1:amd64                 Dynamic library for security auditing
libs             libblkid1:amd64                 block device ID library
libs             libblockdev-crypto2:amd64       Crypto plugin for libblockdev
libs             libblockdev-fs2:amd64           file system plugin for libblockdev
libs             libblockdev-loop2:amd64         Loop device plugin for libblockdev
libs             libblockdev-part-err2:amd64     Partition error utility functions for libblockdev
libs             libblockdev-part2:amd64         Partitioning plugin for libblockdev
libs             libblockdev-swap2:amd64         Swap plugin for libblockdev
libs             libblockdev-utils2:amd64        Utility functions for libblockdev
libs             libblockdev2:amd64              Library for manipulating block devices
libs             libboost-iostreams1.71.0:amd64  Boost.Iostreams Library
libs             libbrotli1:amd64                library implementing brotli encoder and decoder (shared libraries)
libs             libbsd0:amd64                   utility functions from BSD systems - shared library
libs             libbz2-1.0:amd64                high-quality block-sorting file compressor library - runtime
libs             libc-bin                        GNU C Library: Binaries
libs             libc6:amd64                     GNU C Library: Shared libraries
libs             libcanberra0:amd64              simple abstract interface for playing event sounds
libs             libcap-ng0:amd64                An alternate POSIX capabilities library
libs             libcap2:amd64                   POSIX 1003.1e capabilities (library)
libs             libcbor0.6:amd64                library for parsing and generating CBOR (RFC 7049)
libs             libcc1-0:amd64                  GCC cc1 plugin for GDB
libs             libcom-err2:amd64               common error description library
libs             libcrypt1:amd64                 libcrypt shared library
libs             libcryptsetup12:amd64           disk encryption support - shared library
libs             libcurl3-gnutls:amd64           easy-to-use client-side URL transfer library (GnuTLS flavour)
libs             libcurl4:amd64                  easy-to-use client-side URL transfer library (OpenSSL flavour)
libs             libdb5.3:amd64                  Berkeley v5.3 Database Libraries [runtime]
libs             libdbus-1-3:amd64               simple interprocess messaging system (library)
libs             libdconf1:amd64                 simple configuration storage system - runtime library
libs             libdebconfclient0:amd64         Debian Configuration Management System (C-implementation library)
libs             libdevmapper-event1.02.1:amd64  Linux Kernel Device Mapper event support library
libs             libdevmapper1.02.1:amd64        Linux Kernel Device Mapper userspace library
libs             libdns-export1109               Exported DNS Shared Library
libs             libdrm-amdgpu1:amd64            Userspace interface to amdgpu-specific kernel DRM services -- runtime
libs             libdrm-common                   Userspace interface to kernel DRM services -- common files
libs             libdrm-intel1:amd64             Userspace interface to intel-specific kernel DRM services -- runtime
libs             libdrm-nouveau2:amd64           Userspace interface to nouveau-specific kernel DRM services -- runtime
libs             libdrm-radeon1:amd64            Userspace interface to radeon-specific kernel DRM services -- runtime
libs             libdrm2:amd64                   Userspace interface to kernel DRM services -- runtime
libs             libedit2:amd64                  BSD editline and history libraries
libs             libefiboot1:amd64               Library to manage UEFI variables
libs             libefivar1:amd64                Library to manage UEFI variables
libs             libelf1:amd64                   library to read and write ELF files
libs             libestr0:amd64                  Helper functions for handling strings (lib)
libs             libevent-2.1-7:amd64            Asynchronous event notification library
libs             libexpat1:amd64                 XML parsing C library - runtime library
libs             libext2fs2:amd64                ext2/ext3/ext4 file system libraries
libs             libfastjson4:amd64              fast json library for C
libs             libfdisk1:amd64                 fdisk partitioning library
libs             libffi7:amd64                   Foreign Function Interface library runtime
libs             libfido2-1:amd64                library for generating and verifying FIDO 2.0 objects
libs             libfl2:amd64                    SHARED library for flex (a fast lexical analyzer generator)
libs             libflac8:amd64                  Free Lossless Audio Codec - runtime C library
libs             libfontconfig1:amd64            generic font configuration library - runtime
libs             libfreetype6:amd64              FreeType 2 font engine, shared library files
libs             libfribidi0:amd64               Free Implementation of the Unicode BiDi algorithm
libs             libfuse2:amd64                  Filesystem in Userspace (library)
libs             libfwupd2:amd64                 Firmware update daemon library
libs             libfwupdplugin1:amd64           Firmware update daemon plugin library
libs             libgcab-1.0-0:amd64             Microsoft Cabinet file manipulation library
libs             libgcc-s1:amd64                 GCC support library
libs             libgcrypt20:amd64               LGPL Crypto library - runtime library
libs             libgdbm-compat4:amd64           GNU dbm database routines (legacy support runtime version) 
libs             libgdbm6:amd64                  GNU dbm database routines (runtime version) 
libs             libgirepository-1.0-1:amd64     Library for handling GObject introspection data (runtime library)
libs             libgl1-mesa-dri:amd64           free implementation of the OpenGL API -- DRI modules
libs             libgl1:amd64                    Vendor neutral GL dispatch library -- legacy GL support
libs             libglapi-mesa:amd64             free implementation of the GL API -- shared library
libs             libglib2.0-0:amd64              GLib library of C routines
libs             libglvnd0:amd64                 Vendor neutral GL dispatch library
libs             libglx-mesa0:amd64              free implementation of the OpenGL API -- GLX vendor library
libs             libglx0:amd64                   Vendor neutral GL dispatch library -- GLX support
libs             libgmp10:amd64                  Multiprecision arithmetic library
libs             libgnutls30:amd64               GNU TLS library - main runtime library
libs             libgomp1:amd64                  GCC OpenMP (GOMP) support library
libs             libgpg-error0:amd64             GnuPG development runtime library
libs             libgpgme11:amd64                GPGME - GnuPG Made Easy (library)
libs             libgpm2:amd64                   General Purpose Mouse - shared library
libs             libgssapi-krb5-2:amd64          MIT Kerberos runtime libraries - krb5 GSS-API Mechanism
libs             libgssapi3-heimdal:amd64        Heimdal Kerberos - GSSAPI support library
libs             libgstreamer1.0-0:amd64         Core GStreamer libraries and elements
libs             libgudev-1.0-0:amd64            GObject-based wrapper library for libudev
libs             libgusb2:amd64                  GLib wrapper around libusb1
libs             libhcrypto4-heimdal:amd64       Heimdal Kerberos - crypto library
libs             libheimbase1-heimdal:amd64      Heimdal Kerberos - Base library
libs             libheimntlm0-heimdal:amd64      Heimdal Kerberos - NTLM support library
libs             libhogweed5:amd64               low level cryptographic library (public-key cryptos)
libs             libhx509-5-heimdal:amd64        Heimdal Kerberos - X509 support library
libs             libice6:amd64                   X11 Inter-Client Exchange library
libs             libicu66:amd64                  International Components for Unicode
libs             libidn2-0:amd64                 Internationalized domain names (IDNA2008/TR46) library
libs             libip4tc2:amd64                 netfilter libip4tc library
libs             libip6tc2:amd64                 netfilter libip6tc library
libs             libisc-export1105:amd64         Exported ISC Shared Library
libs             libisl22:amd64                  manipulating sets and relations of integer points bounded by linear constraints
libs             libisns0:amd64                  Internet Storage Name Service - shared libraries
libs             libitm1:amd64                   GNU Transactional Memory Library
libs             libjcat1:amd64                  JSON catalog library
libs             libjson-c4:amd64                JSON manipulation library - shared library
libs             libjson-glib-1.0-0:amd64        GLib JSON manipulation library
libs             libjson-glib-1.0-common         GLib JSON manipulation library (common files)
libs             libk5crypto3:amd64              MIT Kerberos runtime libraries - Crypto Library
libs             libklibc:amd64                  minimal libc subset for use with initramfs
libs             libkmod2:amd64                  libkmod shared library
libs             libkrb5-26-heimdal:amd64        Heimdal Kerberos - libraries
libs             libkrb5-3:amd64                 MIT Kerberos runtime libraries
libs             libkrb5support0:amd64           MIT Kerberos runtime libraries - Support library
libs             libksba8:amd64                  X.509 and CMS support library
libs             libldap-2.4-2:amd64             OpenLDAP libraries
libs             libldap-common                  OpenLDAP common files for libraries
libs             libllvm12:amd64                 Modular compiler and toolchain technologies, runtime library
libs             liblmdb0:amd64                  Lightning Memory-Mapped Database shared library
libs             liblsan0:amd64                  LeakSanitizer -- a memory leak detector (runtime)
libs             libltdl7:amd64                  System independent dlopen wrapper for GNU libtool
libs             liblvm2cmd2.03:amd64            LVM2 command library
libs             liblz4-1:amd64                  Fast LZ compression algorithm library - runtime
libs             liblzma5:amd64                  XZ-format compression library
libs             liblzo2-2:amd64                 data compression library
libs             libmagic-mgc                    File type determination library using "magic" numbers (compiled magic file)
libs             libmagic1:amd64                 Recognize the type of data in a file using "magic" numbers - library
libs             libmaxminddb0:amd64             IP geolocation database library
libs             libmnl0:amd64                   minimalistic Netlink communication library
libs             libmount1:amd64                 device mounting library
libs             libmpc3:amd64                   multiple precision complex floating-point library
libs             libmpdec2:amd64                 library for decimal floating point arithmetic (runtime library)
libs             libmpfr6:amd64                  multiple precision floating-point computation
libs             libmspack0:amd64                library for Microsoft compression formats (shared library)
libs             libncurses6:amd64               shared libraries for terminal handling
libs             libncursesw6:amd64              shared libraries for terminal handling (wide character support)
libs             libnetfilter-conntrack3:amd64   Netfilter netlink-conntrack library
libs             libnettle7:amd64                low level cryptographic library (symmetric and one-way cryptos)
libs             libnewt0.52:amd64               Not Erik's Windowing Toolkit - text mode windowing with slang
libs             libnfnetlink0:amd64             Netfilter netlink library
libs             libnftnl11:amd64                Netfilter nftables userspace API library
libs             libnghttp2-14:amd64             library implementing HTTP/2 protocol (shared library)
libs             libnpth0:amd64                  replacement for GNU Pth using system threads
libs             libnspr4:amd64                  NetScape Portable Runtime Library
libs             libnss3:amd64                   Network Security Service libraries
libs             libntfs-3g883                   read/write NTFS driver for FUSE (runtime library)
libs             libnuma1:amd64                  Libraries for controlling NUMA policy
libs             libogg0:amd64                   Ogg bitstream library
libs             libp11-kit0:amd64               library for loading and coordinating access to PKCS#11 modules - runtime
libs             libpackagekit-glib2-18:amd64    Library for accessing PackageKit using GLib
libs             libpam-cap:amd64                POSIX 1003.1e capabilities (PAM module)
libs             libpam0g:amd64                  Pluggable Authentication Modules library
libs             libparted-fs-resize0:amd64      disk partition manipulator - shared FS resizing library
libs             libparted2:amd64                disk partition manipulator - shared library
libs             libpcap0.8:amd64                system interface for user-level packet capture
libs             libpci3:amd64                   PCI utilities (shared library)
libs             libpciaccess0:amd64             Generic PCI access library for X
libs             libpcre2-8-0:amd64              New Perl Compatible Regular Expression Library- 8 bit runtime files
libs             libpcre3:amd64                  Old Perl 5 Compatible Regular Expression Library - runtime files
libs             libperl5.30:amd64               shared Perl library
libs             libpipeline1:amd64              Unix process pipeline manipulation library
libs             libplymouth5:amd64              graphical boot animation and logger - shared libraries
libs             libpng16-16:amd64               PNG library - runtime (version 1.6)
libs             libpolkit-agent-1-0:amd64       PolicyKit Authentication Agent API
libs             libpolkit-gobject-1-0:amd64     PolicyKit Authorization API
libs             libpopt0:amd64                  lib for parsing cmdline parameters
libs             libprocps8:amd64                library for accessing process information from /proc
libs             libproxy1v5:amd64               automatic proxy configuration management library (shared)
libs             libpsl5:amd64                   Library for Public Suffix List (shared libraries)
libs             libpulse0:amd64                 PulseAudio client libraries
libs             libpython3.8:amd64              Shared Python runtime library (version 3.8)
libs             libquadmath0:amd64              GCC Quad-Precision Math Library
libs             libreadline5:amd64              GNU readline and history libraries, run-time libraries
libs             libreadline8:amd64              GNU readline and history libraries, run-time libraries
libs             libroken18-heimdal:amd64        Heimdal Kerberos - roken support library
libs             librtmp1:amd64                  toolkit for RTMP streams (shared library)
libs             libsasl2-2:amd64                Cyrus SASL - authentication abstraction library
libs             libsasl2-modules-db:amd64       Cyrus SASL - pluggable authentication modules (DB)
libs             libseccomp2:amd64               high level interface to Linux seccomp filter
libs             libselinux1:amd64               SELinux runtime shared libraries
libs             libsemanage-common              Common files for SELinux policy management libraries
libs             libsemanage1:amd64              SELinux policy management library
libs             libsensors5:amd64               library to read temperature/voltage/fan sensors
libs             libsepol1:amd64                 SELinux library for manipulating binary security policies
libs             libsgutils2-2                   utilities for devices using the SCSI command set (shared libraries)
libs             libsigc++-2.0-0v5:amd64         type-safe Signal Framework for C++ - runtime
libs             libsigsegv2:amd64               Library for handling page faults in a portable way
libs             libslang2:amd64                 S-Lang programming library - runtime version
libs             libsm6:amd64                    X11 Session Management library
libs             libsmartcols1:amd64             smart column output alignment library
libs             libsmbios-c2                    Provide access to (SM)BIOS information -- dynamic library
libs             libsndfile1:amd64               Library for reading/writing audio files
libs             libsodium23:amd64               Network communication, cryptography and signaturing library
libs             libsoup2.4-1:amd64              HTTP library implementation in C -- Shared library
libs             libsqlite3-0:amd64              SQLite 3 shared library
libs             libss2:amd64                    command-line interface parsing library
libs             libssh-4:amd64                  tiny C SSH library (OpenSSL flavor)
libs             libssl1.1:amd64                 Secure Sockets Layer toolkit - shared libraries
libs             libstdc++6:amd64                GNU Standard C++ Library v3
libs             libstemmer0d:amd64              Snowball stemming algorithms for use in Information Retrieval
libs             libsystemd0:amd64               systemd utility library
libs             libtasn1-6:amd64                Manage ASN.1 structures (runtime)
libs             libtcl8.6:amd64                 Tcl (the Tool Command Language) v8.6 - run-time library files
libs             libtdb1:amd64                   Trivial Database - shared library
libs             libtinfo6:amd64                 shared low-level terminfo library for terminal handling
libs             libtk8.6:amd64                  Tk toolkit for Tcl and X11 v8.6 - run-time files
libs             libtsan0:amd64                  ThreadSanitizer -- a Valgrind-based detector of data races (runtime)
libs             libtss2-esys0                   TPM2 Software stack library - TSS and TCTI libraries
libs             libubsan1:amd64                 UBSan -- undefined behaviour sanitizer (runtime)
libs             libuchardet0:amd64              universal charset detection library - shared library
libs             libudev1:amd64                  libudev shared library
libs             libudisks2-0:amd64              GObject based library to access udisks2
libs             libunistring2:amd64             Unicode string library for C
libs             libunwind8:amd64                library to determine the call-chain of a program - runtime
libs             liburcu6:amd64                  userspace RCU (read-copy-update) library
libs             libusb-1.0-0:amd64              userspace USB programming library
libs             libutempter0:amd64              privileged helper for utmp/wtmp updates (runtime)
libs             libuuid1:amd64                  Universally Unique ID library
libs             libuv1:amd64                    asynchronous event notification library - runtime library
libs             libvolume-key1                  Library for manipulating storage encryption keys and passphrases
libs             libvorbis0a:amd64               decoder library for Vorbis General Audio Compression Codec
libs             libvorbisenc2:amd64             encoder library for Vorbis General Audio Compression Codec
libs             libvorbisfile3:amd64            high-level API for Vorbis General Audio Compression Codec
libs             libvulkan1:amd64                Vulkan loader library
libs             libwayland-client0:amd64        wayland compositor infrastructure - client library
libs             libwind0-heimdal:amd64          Heimdal Kerberos - stringprep implementation
libs             libwrap0:amd64                  Wietse Venema's TCP wrappers library
libs             libx11-6:amd64                  X11 client-side library
libs             libx11-xcb1:amd64               Xlib/XCB interface library
libs             libxau6:amd64                   X11 authorisation library
libs             libxaw7:amd64                   X11 Athena Widget library
libs             libxcb-dri2-0:amd64             X C Binding, dri2 extension
libs             libxcb-dri3-0:amd64             X C Binding, dri3 extension
libs             libxcb-glx0:amd64               X C Binding, glx extension
libs             libxcb-present0:amd64           X C Binding, present extension
libs             libxcb-randr0:amd64             X C Binding, randr extension
libs             libxcb-shape0:amd64             X C Binding, shape extension
libs             libxcb-shm0:amd64               X C Binding, shm extension
libs             libxcb-sync1:amd64              X C Binding, sync extension
libs             libxcb-xfixes0:amd64            X C Binding, xfixes extension
libs             libxcb1:amd64                   X C Binding
libs             libxcomposite1:amd64            X11 Composite extension library
libs             libxdmcp6:amd64                 X11 Display Manager Control Protocol library
libs             libxext6:amd64                  X11 miscellaneous extension library
libs             libxfixes3:amd64                X11 miscellaneous 'fixes' extension library
libs             libxft2:amd64                   FreeType-based font drawing library for X
libs             libxi6:amd64                    X11 Input extension library
libs             libxinerama1:amd64              X11 Xinerama extension library
libs             libxkbfile1:amd64               X11 keyboard file manipulation library
libs             libxml2:amd64                   GNOME XML library
libs             libxmlb1:amd64                  Binary XML library
libs             libxmlsec1-openssl:amd64        Openssl engine for the XML security library
libs             libxmlsec1:amd64                XML security library
libs             libxmu6:amd64                   X11 miscellaneous utility library
libs             libxmuu1:amd64                  X11 miscellaneous micro-utility library
libs             libxpm4:amd64                   X11 pixmap library
libs             libxrandr2:amd64                X11 RandR extension library
libs             libxrender1:amd64               X Rendering Extension client library
libs             libxshmfence1:amd64             X shared memory fences - shared library
libs             libxslt1.1:amd64                XSLT 1.0 processing library - runtime library
libs             libxss1:amd64                   X11 Screen Saver extension library
libs             libxt6:amd64                    X11 toolkit intrinsics library
libs             libxtables12:amd64              netfilter xtables library
libs             libxtst6:amd64                  X11 Testing -- Record extension library
libs             libxv1:amd64                    X11 Video extension library
libs             libxxf86dga1:amd64              X11 Direct Graphics Access extension library
